,question no,option 1,option2,option3,option4,Answer Key
16, $F_{n}(x)=\int(\log x)^{n} d x$ and $G_{n}(x)=F_{n}(x)+n F_{n-1}(x)$ the $G_{n}(x)$ is equal to : ($K$ is any real arbitrary constant), $(\log x)^{n}+K$, $x \frac{(\log x)^{n+1}}{n+1}+K$, $n(\log x)^{n+1}+K$, None of these, (d)
17," The value of $\lim _{x \rightarrow 0^{+}} x^{m}(\log x)^{n}, m, n \in N$ is", $0$, $\frac{\mathrm{m}}{\mathrm{n}}$, $\mathrm{mn}$, None of these, (a)
18, Exactly one root of cubic expression $x^{3}-12 x+5$ lie in :, Both $\mathrm{I}$ and $\mathrm{II}$ but not $\mathrm{III}$, Both $\mathrm{I}$ and $\mathrm{III}$ but not $\mathrm{II}$, Both $\mathrm{II}$ and $\mathrm{III}$ but not $\mathrm{I}$," All $\mathrm{I}$, $\mathrm{II}$ and $\mathrm{III}$", (d)
19," In a $\Delta A B C, A D$ bisects angle $A$ and $D$ lies on $B C$. Length of $A D$ when $\overrightarrow{A B}=2 i+2 j+k$ and $\overrightarrow{A C}=3 i+4 k$ is:", $\frac{3}{8} \sqrt{30}$, $\frac{5}{8} \sqrt{30}$, $\frac{1}{8} \sqrt{30}$, $\frac{\sqrt{30}}{4}$, (b)
20," An ellipse in the first quadrant is tangent to co-ordinate axes. If one focus is $\mathrm{F}_{1}(3,7)$, and the other focus is $\mathrm{F}_{2}(\mathrm{~d}, 7)$, then the value of $\sqrt{3 d}$ is equal to",,,,, (7)
21, $A$ and $B$ are two sets comprising of $5$ and $2$ elements each. The number of unordered pair disjoint subsets of $A \times B$ having $5$ elements and $3$ elements respectively are :,,,,, (2520)
22," For all complex numbers $z_{1}, z_{2}$ satisfying $\left|z_{1}\right|=12$ and $\left|z_{2}-3-4 i\right|=5$, the minimum value of $\left|z_{1}-z_{2}\right|$ is",,,,, (2)
23, $\sin ^{2} 12^{\circ}+\sin ^{2} 21^{\circ}+\sin ^{2} 39^{\circ}+\sin ^{2} 48^{\circ}-\sin ^{2} 9^{\circ}-\sin ^{2} 18^{\circ}$ is equal to,,,,, (1)
24, The value of $\operatorname{Lim}_{n \rightarrow \infty}\left(\sum_{r=1}^{n}\left(\frac{2 r+5}{r^{2}+r}\right)\left(\frac{3}{5}\right)^{r+1}\right)$ is equal to,,,,, (1.8)
25," Find the greatest angle of a triangle whose sides are $a, b, \sqrt{a^{2}+b^{2}+a b}$",,,,, (120)
26," If function $\mathrm{y}=f(\mathrm{x})$ satisfy the differential equation $\left(x^{3}+1\right) d y=x(1-3 x y) d x$ and $f(0)=0$, then $\lim _{x \rightarrow 0} \frac{x^{2}}{f(x)}$ is equal to",,,,, (2)
27, Two roads $O A$ and $O B$ intersect at an angle of $60^{\circ}$. A car driver approaches $O$ from $A$ where $O A=800 \mathrm{~m}$ at a uniform speed of $20 \mathrm{~m} / \mathrm{sec}$. Simultaneously another car moves from $O$ towards $B$ at a uniform speed of $25 \mathrm{~m} / \mathrm{sec}$. If $t$ is the time when the two cars are closest. then $[t]^{2}$ is equal to $([\mathrm{x}]$ means greatest integer less than or equal to $\mathrm{x})$,,,,, (256)
28," Let $T$ and $D$ be number of triangles and diagonals formed by joining vertices of $n$-sided regular polygon respectively such that $T=D+5$, then the value of $n$ is:",,,,, (5)
29, $A$ and $B$ are coefficients of terms independent of $x$ in the expansions $\left(x^{2}+\frac{1}{\sqrt{x}}\right)^{10}$ and $\left(\sqrt{x}+\frac{1}{x^{2}}\right)^{10}$. The ratio of $A$ and $B$ is:,,,,, (1)
